,Crime_ID,Theft_Type
405,582,Theft of Vehicle
406,583,Theft of Vehicle
407,584,Theft from Vehicle
409,586,Theft of Vehicle
410,587,Theft of Vehicle
411,588,Theft of Vehicle
412,589,Theft of Vehicle
413,590,Theft of Bicycle
414,591,Theft of Bicycle
415,593,Theft of Vehicle
416,594,Theft of Vehicle
417,596,Theft from Vehicle
418,597,Theft from Vehicle
420,601,Other Theft
421,603,Theft of Vehicle
422,610,Theft from Vehicle
423,612,Theft from Vehicle
424,613,Theft from Vehicle
426,616,Theft from Vehicle
427,617,Theft from Vehicle
428,618,Theft of Vehicle
430,622,Theft of Bicycle
431,623,Theft of Vehicle
433,625,Theft of Bicycle
435,628,Theft from Vehicle
438,632,Other Theft
444,639,Theft of Vehicle
446,641,Theft from Vehicle
448,643,Theft from Vehicle
452,650,Theft from Vehicle
455,653,Theft from Vehicle
458,657,Other Theft
459,658,Theft from Vehicle
460,659,Theft from Vehicle
463,664,Theft of Vehicle
464,665,Theft of Vehicle
470,673,Theft of Vehicle
472,678,Theft from Vehicle
473,679,Theft from Vehicle
474,680,Theft from Vehicle
475,681,Theft of Bicycle
477,684,Theft from Vehicle
480,688,Theft from Vehicle
481,689,Theft from Vehicle
482,690,Theft of Vehicle
484,692,Theft of Vehicle
486,694,Theft from Vehicle
489,699,Theft of Vehicle
490,700,Theft of Vehicle
491,701,Theft from Vehicle
493,704,Theft from Vehicle
494,705,Theft of Vehicle
500,715,Theft of Bicycle
504,721,Theft of Vehicle
505,722,Theft of Vehicle
507,725,Theft of Vehicle
511,729,Theft of Vehicle
512,730,Theft from Vehicle
515,733,Theft of Bicycle
516,734,Theft from Vehicle
517,735,Theft of Vehicle
519,738,Theft from Vehicle
521,740,Theft of Vehicle
522,741,Theft of Vehicle
523,742,Theft of Vehicle
529,750,Theft from Vehicle
530,751,Theft from Vehicle
534,755,Theft of Vehicle
535,756,Theft of Vehicle
536,757,Theft of Vehicle
537,758,Theft of Vehicle
538,759,Theft of Bicycle
539,761,Theft of Bicycle
540,763,Theft from Vehicle
545,773,Theft from Vehicle
546,774,Theft from Vehicle
547,779,Theft of Vehicle
548,780,Theft from Vehicle
550,782,Other Theft
551,783,Theft from Vehicle
552,784,Theft from Vehicle
553,785,Theft from Vehicle
556,791,Theft of Vehicle
557,792,Theft from Vehicle
560,800,Theft from Vehicle
561,801,Theft of Vehicle
562,802,Theft from Vehicle
563,803,Theft from Vehicle
564,805,Theft from Vehicle
565,807,Theft from Vehicle
566,808,Theft from Vehicle
567,809,Theft from Vehicle
568,810,Theft of Vehicle
569,811,Theft of Vehicle
570,812,Theft of Vehicle
571,813,Other Theft
573,815,Theft of Vehicle
574,816,Theft from Vehicle
575,817,Theft from Vehicle
576,819,Theft of Vehicle
578,824,Other Theft
580,827,Theft from Vehicle
582,833,Other Theft
583,834,Theft of Vehicle
584,835,Other Theft
585,837,Other Theft
586,838,Theft of Vehicle
587,839,Theft from Vehicle
588,840,Other Theft
589,843,Theft of Vehicle
590,845,Theft from Vehicle
591,846,Theft from Vehicle
592,847,Theft from Vehicle
593,848,Theft of Vehicle
595,851,Theft from Vehicle
596,852,Theft from Vehicle
597,859,Other Theft
598,860,Theft of Bicycle
599,862,Theft of Vehicle
600,863,Other Theft
601,865,Theft of Vehicle
602,866,Theft from Vehicle
605,870,Theft of Vehicle
606,871,Theft from Vehicle
609,876,Theft from Vehicle
610,877,Theft of Vehicle
611,878,Theft of Vehicle
612,879,Theft of Vehicle
613,883,Theft from Vehicle
614,884,Theft from Vehicle
615,885,Theft of Vehicle
616,886,Theft of Vehicle
617,887,Theft from Vehicle
618,888,Theft of Vehicle
620,897,Theft from Vehicle
621,898,Theft of Vehicle
622,901,Theft of Vehicle
623,902,Theft of Vehicle
625,909,Theft from Vehicle
626,910,Theft of Vehicle
627,911,Theft of Vehicle
628,912,Theft of Vehicle
629,914,Theft of Bicycle
630,915,Theft from Vehicle
635,920,Theft of Vehicle
636,921,Theft from Vehicle
637,923,Theft of Vehicle
